2023-12-20 14:08:48,940 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-20 14:08:48,942 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-20 14:08:48,942 - INFO - ('Sammer', 'Delivered', 'Laptop', datetime.date(2023, 11, 9))
2023-12-20 14:08:48,942 - INFO - ('Sammer', 'Delivered', 'Laptop', datetime.date(2023, 11, 9))
2023-12-20 14:11:04,032 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-20 14:11:04,033 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-20 14:11:04,033 - INFO - ('Sammer', 'Delivered', 'Laptop', datetime.date(2023, 11, 9))
2023-12-20 14:11:04,034 - INFO - ('Sammer', 'Delivered', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:33:53,831 - ERROR - Error in get_all_addresss: 'Cwoss' object has no attribute 'select_all_cwos'
2023-12-21 14:34:37,472 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,472 - INFO - ('Sammer', 'Delivered', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,472 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,473 - INFO - ('Sammer', 'Delivered', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,473 - INFO - ('Sammer', 'Cancelled', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,473 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,473 - INFO - ('Sammer', 'Delivered', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,473 - INFO - ('Sammer', 'Order Accepted', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,473 - INFO - ('Sammer', 'Cancelled', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,473 - INFO - ('Sammer', 'Delivered', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,473 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,473 - INFO - ('Sammer', 'Cancelled', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,474 - INFO - ('Sammer', 'Delivered', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,474 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,474 - INFO - ('Sammer', 'Order Packed', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,474 - INFO - ('Sammer', 'Returned', 'Laptop', datetime.date(2023, 11, 9))
2023-12-21 14:34:37,474 - INFO - ('Sammer', 'Placed', 'Laptop', datetime.date(2023, 11, 9))
